ARTIST,Age,Gender,Hand
Scott Hampton,62,0,LEFT
Jim Pavelec,22,0,LEFT
Shelly Wan,58,1,RIGHT
Brian Snõddy,51,0,LEFT
Todd Lockwood,62,1,RIGHT
Anthony S. Waters,59,0,LEFT
Rebecca Guay,54,1,RIGHT
Jim Nelson,40,0,LEFT
Christopher Moeller,55,0,LEFT
Scott M. Fischer,39,0,LEFT
Larry MacDougall,53,1,RIGHT
Greg Staples,40,1,RIGHT
Matt Cavotta,57,1,RIGHT
Jeff Easley,61,0,LEFT
Alan Pollack,23,1,RIGHT
Michael Sutfin,27,0,LEFT
Fred Fields,28,0,LEFT
Jason Chan,25,0,LEFT
Richard Kane Ferguson,57,1,RIGHT
Richard Whitters,36,0,LEFT
Zoltan Boros & Gabor Szikszai,53,1,RIGHT
Chuck Lukacs,24,1,RIGHT
Jeremy Jarvis,48,1,RIGHT
Omar Rayyan,23,0,LEFT
Quinton Hoover,25,0,LEFT
Richard Sardinha,21,1,RIGHT
Alex Horley-Orlandelli,31,0,LEFT
Jesper Ejsing,29,0,LEFT
Carl Critchlow,37,0,LEFT
Drew Tucker,23,1,RIGHT
Dave Allsop,43,0,LEFT
Adam Rex,46,0,LEFT
Wayne Reynolds,54,0,LEFT
Dan Murayama Scott,49,0,LEFT
Dave Dorman,35,1,RIGHT
Ron Spencer,64,0,LEFT
Dan Dos Santos,53,0,LEFT
Pete Venters,30,1,RIGHT
Ron Spears,25,0,LEFT
Trevor Hairsine,44,0,LEFT
Daarken,35,1,RIGHT
Lars Grant-West,45,0,LEFT
Wayne England,46,0,LEFT
Martina Pilcerova,52,1,RIGHT
Randy Gallegos,46,0,LEFT
Paolo Parente,37,1,RIGHT
William O'Connor,23,1,RIGHT
Mark Tedin,38,1,RIGHT
Eric Fortune,58,1,RIGHT
Nils Hamm,61,1,RIGHT
Howard Lyon,42,1,RIGHT
Rob Alexander,57,0,LEFT
Terese Nielsen,50,1,RIGHT
Paolo Parente & Brian Snõddy,57,1,RIGHT
Chippy,35,0,LEFT
Jeremy Enecio,65,1,RIGHT
E. M. Gist,37,0,LEFT
Lucio Parrillo,56,1,RIGHT
Dan Seagrave,28,0,LEFT
Aleksi Briclot,30,0,LEFT
Heather Hudson,58,0,LEFT
Thomas Denmark,34,1,RIGHT
Jim Murray,52,0,LEFT
Daren Bader,44,0,LEFT
Steve Ellis,63,1,RIGHT
Darrell Riche,32,1,RIGHT
Kev Walker,29,1,RIGHT
Cyril Van Der Haegen,57,0,LEFT
Mark Poole,29,0,LEFT
Brandon Kitkouski,29,1,RIGHT
Izzy,41,1,RIGHT
Mike Dringenberg,33,0,LEFT
Thomas M. Baxa,35,1,RIGHT
Dave Kendall,45,0,LEFT
Cole Eastburn,58,0,LEFT
John Franklin Howe,23,0,LEFT
Steven Belledin,43,0,LEFT
Mark Zug,38,0,LEFT
Warren Mahy,26,1,RIGHT
Quinton Hoover & Val Mayerik,33,1,RIGHT
Jeff Miracola,41,1,RIGHT
Ben Thompson,54,0,LEFT
Carl Frank,40,0,LEFT
Jaime Jones,25,1,RIGHT
Paul Bonner,40,0,LEFT
David Martin,42,1,RIGHT
Brandon Dorman,47,0,LEFT
Steve Prescott,28,0,LEFT
Dominick Domingo,34,1,RIGHT
Ralph Horsley,30,1,RIGHT
Terese Nielsen & Philip Tan,63,1,RIGHT
Paul Chadwick,31,0,LEFT
Franz Vohwinkel,35,0,LEFT
John Avon,47,0,LEFT
Greg Hildebrandt,29,0,LEFT
Terese Nielsen & Ron Spencer,45,0,LEFT
Scott Altmann,62,0,LEFT
Ron Brown,63,1,RIGHT
rk post,42,1,RIGHT
Joshua Hagler,23,1,RIGHT
Fred Harper,46,1,RIGHT
